TimeMin,PickupCount
1.080000000000000000e+03,5.800000000000000000e+01
8.540000000000000000e+02,3.600000000000000000e+01
1.128000000000000000e+03,5.300000000000000000e+01
1.080000000000000000e+02,6.200000000000000000e+01
4.600000000000000000e+02,8.000000000000000000e+00
5.010000000000000000e+02,1.300000000000000000e+01
1.001000000000000000e+03,4.600000000000000000e+01
4.960000000000000000e+02,1.200000000000000000e+01
1.310000000000000000e+03,4.700000000000000000e+01
5.220000000000000000e+02,1.800000000000000000e+01
1.440000000000000000e+02,4.900000000000000000e+01
9.210000000000000000e+02,4.600000000000000000e+01
1.174000000000000000e+03,7.400000000000000000e+01
8.430000000000000000e+02,3.100000000000000000e+01
3.850000000000000000e+02,7.000000000000000000e+00
7.000000000000000000e+00,1.600000000000000000e+01
1.377000000000000000e+03,6.700000000000000000e+01
4.160000000000000000e+02,1.500000000000000000e+01
1.326000000000000000e+03,3.300000000000000000e+01
8.030000000000000000e+02,2.400000000000000000e+01
3.270000000000000000e+02,6.000000000000000000e+00
5.530000000000000000e+02,3.800000000000000000e+01
1.028000000000000000e+03,2.000000000000000000e+01
7.650000000000000000e+02,4.300000000000000000e+01
7.540000000000000000e+02,3.000000000000000000e+01
9.320000000000000000e+02,4.900000000000000000e+01
5.560000000000000000e+02,4.400000000000000000e+01
6.800000000000000000e+01,2.200000000000000000e+01
1.218000000000000000e+03,5.300000000000000000e+01
1.382000000000000000e+03,4.300000000000000000e+01
1.109000000000000000e+03,5.600000000000000000e+01
6.930000000000000000e+02,2.100000000000000000e+01
1.231000000000000000e+03,4.100000000000000000e+01
6.830000000000000000e+02,1.200000000000000000e+01
6.360000000000000000e+02,2.900000000000000000e+01
5.110000000000000000e+02,1.500000000000000000e+01
4.270000000000000000e+02,2.200000000000000000e+01
9.850000000000000000e+02,7.300000000000000000e+01
1.358000000000000000e+03,4.800000000000000000e+01
1.910000000000000000e+02,6.000000000000000000e+00
7.940000000000000000e+02,3.400000000000000000e+01
5.080000000000000000e+02,4.400000000000000000e+01
9.670000000000000000e+02,3.900000000000000000e+01
1.372000000000000000e+03,4.500000000000000000e+01
9.200000000000000000e+01,5.500000000000000000e+01
2.060000000000000000e+02,6.000000000000000000e+00
1.065000000000000000e+03,6.600000000000000000e+01
1.312000000000000000e+03,4.900000000000000000e+01
1.033000000000000000e+03,3.700000000000000000e+01
2.280000000000000000e+02,7.000000000000000000e+00
1.780000000000000000e+02,1.000000000000000000e+01
1.225000000000000000e+03,4.700000000000000000e+01
6.230000000000000000e+02,3.800000000000000000e+01
1.255000000000000000e+03,4.900000000000000000e+01
1.093000000000000000e+03,2.900000000000000000e+01
1.341000000000000000e+03,7.400000000000000000e+01
1.420000000000000000e+02,5.000000000000000000e+00
1.047000000000000000e+03,4.200000000000000000e+01
7.980000000000000000e+02,3.300000000000000000e+01
4.300000000000000000e+01,1.600000000000000000e+01
2.390000000000000000e+02,1.000000000000000000e+01
7.430000000000000000e+02,3.700000000000000000e+01
1.226000000000000000e+03,4.900000000000000000e+01
3.120000000000000000e+02,4.000000000000000000e+00
1.180000000000000000e+02,1.400000000000000000e+01
1.281000000000000000e+03,4.000000000000000000e+01
1.058000000000000000e+03,4.600000000000000000e+01
1.422000000000000000e+03,3.000000000000000000e+01
1.090000000000000000e+03,5.700000000000000000e+01
6.930000000000000000e+02,2.900000000000000000e+01
1.235000000000000000e+03,7.000000000000000000e+01
1.257000000000000000e+03,5.700000000000000000e+01
3.650000000000000000e+02,8.000000000000000000e+00
2.450000000000000000e+02,2.500000000000000000e+01
1.340000000000000000e+03,2.900000000000000000e+01
1.075000000000000000e+03,5.400000000000000000e+01
4.920000000000000000e+02,4.000000000000000000e+01
6.070000000000000000e+02,1.800000000000000000e+01
1.840000000000000000e+02,5.100000000000000000e+01
5.110000000000000000e+02,1.500000000000000000e+01
2.310000000000000000e+02,1.200000000000000000e+01
7.470000000000000000e+02,3.200000000000000000e+01
2.150000000000000000e+02,5.000000000000000000e+00
6.510000000000000000e+02,2.800000000000000000e+01
1.187000000000000000e+03,4.800000000000000000e+01
7.450000000000000000e+02,1.900000000000000000e+01
3.840000000000000000e+02,9.000000000000000000e+00
1.380000000000000000e+03,3.700000000000000000e+01
6.550000000000000000e+02,2.300000000000000000e+01
4.030000000000000000e+02,1.600000000000000000e+01
1.490000000000000000e+02,1.900000000000000000e+01
8.960000000000000000e+02,3.600000000000000000e+01
1.070000000000000000e+02,9.000000000000000000e+00
6.890000000000000000e+02,3.400000000000000000e+01
4.070000000000000000e+02,1.800000000000000000e+01
2.840000000000000000e+02,1.000000000000000000e+00
2.270000000000000000e+02,5.100000000000000000e+01
9.680000000000000000e+02,3.400000000000000000e+01
8.050000000000000000e+02,2.900000000000000000e+01
2.390000000000000000e+02,3.100000000000000000e+01
2.110000000000000000e+02,8.000000000000000000e+00
1.154000000000000000e+03,4.100000000000000000e+01
9.160000000000000000e+02,3.600000000000000000e+01
9.990000000000000000e+02,5.000000000000000000e+01
4.500000000000000000e+01,3.300000000000000000e+01
5.290000000000000000e+02,3.800000000000000000e+01
5.860000000000000000e+02,3.400000000000000000e+01
9.260000000000000000e+02,2.600000000000000000e+01
6.050000000000000000e+02,2.300000000000000000e+01
4.770000000000000000e+02,4.400000000000000000e+01
7.950000000000000000e+02,2.700000000000000000e+01
8.200000000000000000e+01,2.000000000000000000e+01
6.520000000000000000e+02,4.000000000000000000e+01
1.083000000000000000e+03,4.300000000000000000e+01
4.960000000000000000e+02,1.000000000000000000e+01
7.070000000000000000e+02,4.300000000000000000e+01
7.280000000000000000e+02,2.900000000000000000e+01
2.980000000000000000e+02,7.500000000000000000e+01
1.017000000000000000e+03,4.900000000000000000e+01
5.200000000000000000e+02,3.900000000000000000e+01
3.830000000000000000e+02,1.300000000000000000e+01
3.560000000000000000e+02,9.000000000000000000e+00
9.900000000000000000e+02,4.200000000000000000e+01
7.300000000000000000e+02,3.700000000000000000e+01
1.106000000000000000e+03,8.100000000000000000e+01
6.010000000000000000e+02,2.400000000000000000e+01
5.240000000000000000e+02,4.700000000000000000e+01
4.960000000000000000e+02,3.500000000000000000e+01
3.610000000000000000e+02,6.000000000000000000e+00
6.470000000000000000e+02,3.000000000000000000e+01
1.425000000000000000e+03,3.300000000000000000e+01
2.510000000000000000e+02,7.000000000000000000e+00
1.438000000000000000e+03,1.900000000000000000e+01
6.810000000000000000e+02,2.200000000000000000e+01
8.140000000000000000e+02,2.900000000000000000e+01
6.450000000000000000e+02,2.200000000000000000e+01
9.570000000000000000e+02,2.500000000000000000e+01
2.430000000000000000e+02,1.000000000000000000e+01
4.680000000000000000e+02,3.100000000000000000e+01
8.490000000000000000e+02,4.400000000000000000e+01
6.800000000000000000e+01,1.700000000000000000e+01
8.480000000000000000e+02,3.100000000000000000e+01
6.620000000000000000e+02,2.900000000000000000e+01
6.900000000000000000e+01,5.500000000000000000e+01
5.670000000000000000e+02,2.500000000000000000e+01
5.740000000000000000e+02,3.500000000000000000e+01
4.910000000000000000e+02,7.000000000000000000e+00
5.570000000000000000e+02,1.900000000000000000e+01
5.040000000000000000e+02,5.000000000000000000e+00
4.300000000000000000e+01,6.000000000000000000e+01
8.160000000000000000e+02,3.100000000000000000e+01
3.920000000000000000e+02,7.000000000000000000e+00
8.100000000000000000e+01,2.600000000000000000e+01
1.026000000000000000e+03,5.400000000000000000e+01
8.340000000000000000e+02,3.000000000000000000e+01
4.830000000000000000e+02,1.500000000000000000e+01
1.065000000000000000e+03,4.700000000000000000e+01
2.140000000000000000e+02,1.000000000000000000e+01
2.620000000000000000e+02,8.000000000000000000e+00
1.424000000000000000e+03,1.900000000000000000e+01
1.021000000000000000e+03,4.400000000000000000e+01
1.002000000000000000e+03,6.100000000000000000e+01
1.317000000000000000e+03,2.100000000000000000e+01
8.330000000000000000e+02,2.200000000000000000e+01
1.215000000000000000e+03,4.000000000000000000e+01
2.870000000000000000e+02,2.000000000000000000e+00
7.970000000000000000e+02,4.500000000000000000e+01
9.890000000000000000e+02,5.100000000000000000e+01
1.282000000000000000e+03,4.300000000000000000e+01
6.450000000000000000e+02,3.700000000000000000e+01
4.990000000000000000e+02,3.600000000000000000e+01
3.370000000000000000e+02,1.700000000000000000e+01
1.012000000000000000e+03,5.000000000000000000e+01
1.600000000000000000e+02,1.700000000000000000e+01
2.500000000000000000e+02,1.600000000000000000e+01
1.510000000000000000e+02,3.000000000000000000e+00
9.500000000000000000e+01,7.200000000000000000e+01
1.041000000000000000e+03,5.900000000000000000e+01
1.140000000000000000e+03,6.200000000000000000e+01
1.413000000000000000e+03,6.000000000000000000e+01
6.200000000000000000e+02,3.300000000000000000e+01
8.250000000000000000e+02,3.500000000000000000e+01
5.430000000000000000e+02,4.000000000000000000e+01
2.560000000000000000e+02,2.100000000000000000e+01
5.200000000000000000e+01,2.100000000000000000e+01
1.077000000000000000e+03,4.900000000000000000e+01
5.110000000000000000e+02,1.700000000000000000e+01
4.860000000000000000e+02,1.300000000000000000e+01
2.800000000000000000e+02,3.100000000000000000e+01
3.880000000000000000e+02,1.000000000000000000e+01
9.020000000000000000e+02,3.300000000000000000e+01
1.352000000000000000e+03,7.500000000000000000e+01
5.070000000000000000e+02,4.100000000000000000e+01
1.070000000000000000e+02,3.400000000000000000e+01
9.420000000000000000e+02,6.600000000000000000e+01
8.850000000000000000e+02,4.400000000000000000e+01
4.690000000000000000e+02,1.300000000000000000e+01
1.428000000000000000e+03,6.500000000000000000e+01
1.900000000000000000e+01,6.100000000000000000e+01
1.326000000000000000e+03,4.600000000000000000e+01
1.032000000000000000e+03,1.700000000000000000e+01
1.318000000000000000e+03,2.800000000000000000e+01
1.383000000000000000e+03,2.600000000000000000e+01
8.820000000000000000e+02,4.100000000000000000e+01
3.830000000000000000e+02,1.000000000000000000e+01
1.357000000000000000e+03,2.600000000000000000e+01
1.327000000000000000e+03,4.300000000000000000e+01
4.950000000000000000e+02,1.900000000000000000e+01
1.338000000000000000e+03,5.000000000000000000e+01
